"attitude1_01"	"attitude1_02"	"attitude1_03"	"attitude1_04"	"intent1_01"	"intent1_02"	"intent1_03"	"intent1_04"	"peruse01"	"peruse02"	"peruse03"	"peruse04"	"satis01"	"satis02"	"satis03"	"satis04"
6	6	6	6	6	6	6	6	6	4	5	5	5	5	5	5
7	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6
6	6	6	6	7	7	7	7	6	5	5	5	5	5	5	5
7	7	7	7	6	6	7	6	5	5	5	5	7	6	7	6
7	7	6	6	7	7	7	6	6	6	7	7	6	6	6	6
6	6	5	5	6	7	7	6	5	4	5	5	6	5	5	5
6	5	5	6	6	6	6	7	5	5	6	5	6	5	6	6
7	7	7	7	7	7	7	7	7	7	7	7	6	7	6	7
7	7	6	6	7	7	7	7	7	7	7	7	6	6	6	6
5	4	4	5	6	5	6	5	6	6	6	5	6	5	3	4
7	6	7	7	7	7	7	7	7	7	7	7	6	7	7	5
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
5	6	4	3	6	6	6	6	4	3	3	3	2	3	4	5
7	7	5	6	7	7	7	7	7	7	6	6	7	7	7	7
6	6	6	6	6	6	6	6	7	6	6	6	3	4	3	3
6	6	5	5	7	6	7	6	5	6	6	6	7	6	6	5
6	6	6	6	7	7	7	6	5	6	6	6	7	7	7	6
7	7	6	6	7	7	7	7	7	6	7	6	5	5	5	4
3	3	4	5	3	3	3	3	5	3	3	3	3	3	4	3
7	7	6	7	7	7	7	6	7	5	6	6	7	7	7	6
6	5	6	5	5	6	5	5	3	2	3	4	4	6	6	6
7	6	4	5	6	6	6	6	6	7	4	6	6	6	5	4
6	7	5	6	6	6	7	5	5	6	6	6	5	6	7	3
6	6	6	6	7	7	7	6	6	6	6	6	6	5	5	6
7	7	7	7	5	5	7	5	6	7	7	7	5	5	5	5
6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	7
5	5	4	4	5	5	6	4	6	6	5	5	5	5	5	4
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
6	5	7	7	7	6	7	6	7	7	7	7	6	6	6	6
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
6	6	5	6	6	7	7	6	6	7	6	6	5	6	6	5
6	7	7	6	7	6	6	5	6	5	6	6	6	6	6	6
6	6	6	6	7	7	7	7	6	5	6	6	5	5	3	5
6	5	6	5	6	6	6	6	6	5	5	6	5	6	6	5
