"rad"	"temp"	"wind"	"ozone"
189	93	4.6	91
7	74	6.9	16
175	89	7.4	85
223	79	5.7	115
264	73	14.3	10
131	76	8	18
191	77	14.9	21
229	90	10.3	89
190	78	10.3	44
25	61	9.7	4
92	61	12	32
183	93	2.8	73
267	92	6.3	97
92	61	12	32
65	58	13.2	18
82	86	12	52
175	81	14.9	27
193	70	6.9	30
95	87	7.4	47
252	81	14.9	45
81	82	8.6	20
294	86	8.6	80
82	86	12	52
255	89	4	122
253	83	7.4	64
27	76	10.3	13
276	88	5.1	77
224	67	13.8	18
237	96	6.3	84
49	69	10.3	7
37	65	9.2	20
294	86	8.6	80
112	71	11.5	13
320	73	16.6	11
51	79	6.3	59
212	79	9.7	45
256	69	9.7	16
267	92	6.3	97
274	68	10.9	14
307	66	12	34
299	65	8.6	23
83	81	6.9	39
187	87	5.1	79
14	71	9.2	23
191	77	14.9	21
276	88	5.1	77
36	72	14.3	9
260	81	6.9	48
259	73	9.7	24
274	82	10.3	35
118	72	8	36
127	82	9.7	29
7	74	6.9	16
193	70	6.9	30
238	77	6.3	28
213	88	7.4	82
238	77	6.3	28
65	58	13.2	18
49	69	10.3	7
334	64	11.5	14
127	82	9.7	29
7	74	6.9	16
120	73	11.5	12
254	81	9.2	59
167	91	6.9	96
284	72	20.7	37
213	88	7.4	82
230	75	10.9	21
71	77	10.3	22
19	61	20.1	8
191	77	14.9	21
19	61	20.1	8
291	90	13.8	71
8	59	9.7	1
323	87	11.5	39
313	62	11.5	18
285	84	6.3	61
25	61	9.7	4
118	72	8	36
191	75	14.3	14
120	73	11.5	12
224	67	13.8	18
188	94	6.3	85
274	68	10.9	14
213	88	7.4	82
215	86	8	73
8	59	9.7	1
148	82	8	23
131	76	8	18
275	86	7.4	50
27	76	10.3	13
8	59	9.7	1
131	76	8	18
8	59	9.7	1
307	66	12	34
77	82	7.4	16
225	94	2.3	118
284	72	20.7	37
259	73	9.7	24
115	76	7.4	23
256	69	9.7	16
220	85	11.5	63
275	86	7.4	50
191	77	14.9	21
212	79	9.7	45
48	80	14.3	7
223	85	8	108
127	82	9.7	29
323	87	11.5	39
77	82	7.4	16
238	68	10.3	24
