"time"	"peruse01"	"peruse02"	"peruse03"	"peruse04"	"peruse05"	"peruse06"	"pereou01"	"pereou02"	"pereou03"	"pereou04"	"pereou05"	"pereou06"	"intent01"	"intent02"	"intent03"	"operatingsys"	"gender"	"educ_level"	"race_white"	"race_black"	"race_hisp"	"race_asian"	"race_native"	"race_pacif"	"race_other"	"age"	"citizenship"	"state"	"military"	"militbranch"	"familystruct"	"children"	"income"	"employ"	"color"	"eatout"	"religion"
14	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	4	0	0	0	0	1	0	0	22	185	3	2	NA	5	NA	4	15	4	5	10
14	6	5	5	6	6	6	6	6	6	6	6	6	7	7	7	1	2	4	0	0	0	0	1	0	0	32	185	35	2	NA	4	4	2	16	1	3	10
10	5	5	5	6	5	6	3	5	4	5	5	5	5	5	4	1	1	2	0	0	0	1	0	0	0	19	185	3	2	NA	1	NA	2	13	8	6	10
13	5	5	5	5	5	6	6	5	5	4	6	5	5	5	5	5	1	3	0	0	0	1	0	0	0	21	185	3	2	NA	1	NA	1	5	4	5	10
4	7	6	6	6	7	6	6	6	7	6	6	6	6	6	6	1	2	3	0	0	0	1	0	0	0	21	170	NA	2	NA	1	NA	1	6	7	4	6
5	6	6	7	6	7	6	6	6	6	7	6	6	5	6	7	1	2	3	0	0	0	1	0	0	0	21	86	NA	2	NA	5	NA	NA	NA	NA	NA	NA
6	6	6	6	7	6	7	7	7	6	7	6	6	6	6	6	1	1	5	0	0	0	1	0	0	0	21	78	NA	2	NA	1	NA	1	NA	8	5	18
7	6	6	6	5	5	5	7	7	7	7	7	7	6	6	6	5	1	3	0	0	0	1	0	0	0	21	185	3	2	NA	1	NA	1	21	4	5	1
5	5	4	5	5	5	4	5	4	5	4	4	5	5	5	5	1	2	2	0	0	0	1	0	0	0	23	36	NA	2	NA	1	NA	1	NA	4	4	NA
12	6	6	6	5	5	6	5	5	5	6	6	5	5	7	4	5	1	3	0	0	0	1	0	0	0	23	36	NA	2	NA	1	NA	1	14	1	4	28
9	6	5	6	6	6	4	5	6	5	6	6	6	7	7	7	1	1	3	0	0	0	1	0	0	0	24	185	3	2	NA	3	NA	7	34	4	4	6
10	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	1	2	5	0	0	0	1	0	0	0	24	121	NA	2	NA	1	NA	1	NA	1	3	6
17	5	6	6	5	5	6	6	6	6	6	5	6	6	6	6	2	2	6	0	0	0	1	0	0	0	25	36	NA	2	NA	1	NA	1	5	2	3	8
14	5	6	6	6	6	6	6	6	6	6	6	6	6	7	7	2	1	5	0	0	0	1	0	0	0	25	139	NA	1	3	1	NA	NA	NA	1	6	11
15	5	5	5	5	6	6	6	6	7	6	7	6	6	6	6	2	1	3	0	0	0	1	0	0	0	25	139	NA	1	3	1	NA	1	25	1	3	10
18	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	1	2	5	0	0	0	1	0	0	0	26	36	NA	2	NA	3	NA	1	NA	1	5	28
10	2	2	2	2	2	2	7	6	6	6	5	5	7	7	7	1	2	6	0	0	0	1	0	0	0	28	36	NA	2	NA	4	1	8	2	5	4	8
17	1	3	2	3	3	4	2	2	3	2	4	1	7	7	6	2	1	6	0	0	0	1	0	0	0	29	78	NA	2	NA	1	NA	2	14	1	5	18
10	5	5	5	5	4	2	6	6	6	5	5	6	5	5	5	2	1	5	0	0	0	1	0	0	0	29	185	3	2	NA	1	NA	1	5	1	3	1
10	6	3	5	6	6	6	6	6	6	6	5	6	7	7	7	1	1	6	0	0	0	1	0	0	0	29	78	NA	2	NA	3	NA	1	11	4	5	10
16	6	6	6	6	7	6	7	7	7	7	7	7	7	7	7	1	1	5	0	0	0	1	0	0	0	39	135	NA	2	NA	4	1	5	8	1	5	10
13	6	6	5	6	5	6	5	6	6	4	5	4	6	5	6	2	1	4	0	0	1	0	0	0	0	20	185	3	2	NA	1	NA	1	21	1	6	10
17	5	5	5	3	4	5	5	5	5	6	5	5	5	3	4	2	2	5	0	0	1	0	0	0	0	22	139	NA	2	NA	1	NA	3	14	8	5	11
9	6	6	6	6	6	6	5	6	5	6	6	5	6	5	6	5	2	5	0	0	1	0	0	0	0	22	21	NA	2	NA	1	NA	1	2	7	5	10
25	6	6	6	7	6	6	6	5	5	5	6	6	7	6	7	2	2	4	0	0	1	0	0	0	0	25	111	NA	2	NA	1	NA	1	24	1	5	10
9	5	6	5	5	6	6	6	6	6	7	7	6	7	7	7	1	1	3	0	0	1	0	0	0	0	25	185	4	2	NA	1	NA	1	8	8	4	NA
13	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	5	0	0	1	0	0	0	0	25	185	3	2	NA	1	NA	3	8	8	6	10
6	7	7	6	6	7	7	7	7	6	5	6	6	7	7	7	1	2	2	0	1	0	0	0	0	0	19	185	3	2	NA	4	NA	NA	NA	NA	NA	NA
5	6	6	7	6	7	7	6	5	5	5	6	6	6	7	7	1	1	3	0	1	0	0	0	0	0	21	185	3	2	NA	1	NA	1	23	8	4	10
7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	2	3	0	1	0	0	0	0	0	21	185	24	2	NA	1	NA	2	8	7	5	10
17	6	6	6	6	6	6	7	7	7	7	7	7	6	6	6	2	1	3	0	1	0	0	0	0	0	21	185	3	2	NA	1	NA	1	6	4	4	10
27	6	6	6	7	5	7	6	6	6	5	5	6	1	5	4	5	2	5	0	1	0	0	0	0	0	24	185	10	2	NA	1	NA	1	14	1	5	10
14	6	5	6	5	5	6	4	4	7	5	5	7	7	7	7	1	1	3	0	1	0	0	0	0	0	31	185	3	2	NA	3	NA	8	14	8	6	10
12	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	1	2	2	1	0	0	0	0	0	0	18	185	3	2	NA	1	NA	1	NA	3	3	10
29	5	5	3	3	4	5	6	2	3	5	5	3	6	4	6	1	2	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	14	2	4	1
32	7	6	6	6	6	6	6	6	6	6	5	5	7	7	7	1	1	2	1	0	0	0	0	0	0	19	185	3	2	NA	1	NA	1	5	4	3	1
7	6	6	6	6	7	6	5	5	5	6	6	5	5	6	5	4	2	2	1	0	0	0	0	0	0	19	185	3	2	NA	1	NA	1	NA	7	6	10
15	6	6	7	7	7	6	5	5	6	6	6	5	3	6	3	2	1	3	1	0	0	0	0	0	0	19	185	3	2	NA	1	NA	1	NA	1	5	10
11	6	5	6	6	6	6	5	4	6	3	5	6	6	6	6	1	2	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	24	1	5	10
9	6	6	6	6	6	6	6	5	6	5	6	6	7	7	7	1	1	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	24	1	5	10
14	6	6	6	6	6	6	6	6	6	5	6	6	7	6	6	1	2	3	1	0	0	0	0	0	0	19	185	3	2	NA	1	NA	1	NA	5	3	10
5	4	4	4	4	4	4	6	6	6	6	6	6	1	1	1	5	2	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	25	4	5	10
3	4	6	6	6	6	6	6	6	6	6	6	6	1	1	1	5	1	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	24	1	5	1
22	4	4	4	4	4	5	7	7	6	3	7	6	5	6	5	6	1	3	1	0	0	0	0	0	0	19	185	3	2	NA	1	NA	1	28	1	4	10
8	5	3	5	4	4	7	3	2	5	4	6	7	5	7	4	2	1	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	1	7	7	10
26	4	5	5	5	6	6	7	6	6	5	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	9	1	3	10
12	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	19	185	42	2	NA	1	NA	1	7	4	4	10
11	6	5	5	5	5	5	7	7	7	7	7	7	7	7	7	1	2	3	1	0	0	0	0	0	0	19	185	24	2	NA	1	NA	1	24	7	4	10
13	3	4	5	5	3	6	7	7	7	7	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	19	185	3	2	NA	3	NA	3	25	7	4	10
14	5	4	4	5	4	4	6	5	5	3	5	4	3	3	2	5	1	3	1	0	0	0	0	0	0	20	185	42	2	NA	1	NA	1	24	3	6	10
10	5	5	6	6	5	6	5	4	4	3	6	4	2	3	4	5	1	3	1	0	0	0	0	0	0	20	185	15	2	NA	1	NA	1	2	1	5	10
13	5	5	4	4	5	4	5	6	3	4	5	5	5	6	5	2	1	3	1	0	0	0	0	0	0	20	185	42	2	NA	1	NA	1	20	1	5	10
13	6	6	6	6	5	5	5	6	6	5	5	5	6	6	6	1	1	2	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	NA	3	5	10
32	6	6	5	5	7	3	6	3	3	6	6	5	7	6	6	1	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	NA	1	5	10
9	6	6	6	6	5	6	7	6	5	6	6	5	2	2	2	5	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	21	3	4	10
8	7	6	6	6	6	6	7	7	6	6	6	5	6	6	5	4	2	3	1	0	0	0	0	0	0	20	185	24	2	NA	1	NA	1	8	1	4	10
6	7	7	7	7	7	7	6	5	6	5	5	6	6	6	6	1	1	3	1	0	0	0	0	0	0	20	185	42	2	NA	1	NA	3	5	7	7	10
12	5	5	5	5	6	4	7	6	6	5	5	6	4	5	4	2	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	14	1	6	10
9	6	7	5	6	5	5	6	6	5	6	5	6	7	7	7	1	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	NA	5	5	11
18	5	6	6	5	4	6	6	5	7	6	5	6	7	7	7	1	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	NA	4	3	10
5	6	6	5	4	5	5	6	2	5	5	6	6	6	6	6	2	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	NA	1	6	10
11	5	5	3	3	4	5	6	5	5	5	6	6	6	6	6	5	2	5	1	0	0	0	0	0	0	20	185	42	2	NA	1	NA	6	2	7	5	10
7	5	5	6	5	4	5	6	6	6	5	6	6	5	6	4	2	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	14	9	6	10
6	6	6	6	6	6	6	5	5	5	6	6	6	5	6	5	5	2	3	1	0	0	0	0	0	0	20	185	42	2	NA	1	NA	1	21	1	3	10
14	5	5	5	5	6	6	6	5	5	6	6	6	3	5	2	4	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	24	7	4	10
16	5	5	5	5	4	4	7	5	5	6	6	6	7	7	7	1	2	3	1	0	0	0	0	0	0	20	185	24	2	NA	1	NA	NA	NA	3	2	10
21	7	6	5	5	2	5	6	6	6	6	6	6	2	6	2	2	1	2	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	NA	7	7	10
6	6	6	7	5	6	6	6	6	6	6	6	6	5	5	5	2	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	5	4	4	10
7	7	7	7	7	7	7	6	6	6	6	7	6	6	6	6	2	2	3	1	0	0	0	0	0	0	20	185	24	2	NA	5	NA	1	21	4	6	10
19	6	6	7	5	6	6	7	6	6	7	7	6	6	7	6	1	1	3	1	0	0	0	0	0	0	20	185	42	2	NA	1	NA	1	NA	4	4	10
12	6	7	6	2	7	7	6	5	6	5	6	7	7	7	7	2	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	18	1	7	10
15	7	6	6	7	7	6	5	6	6	6	6	7	5	6	5	2	2	3	1	0	0	0	0	0	0	20	185	13	2	NA	1	NA	1	NA	1	5	10
9	2	6	6	6	6	6	7	6	6	6	6	7	6	6	7	5	2	3	1	0	0	0	0	0	0	20	185	24	2	NA	1	NA	1	8	1	5	10
13	7	7	7	7	7	7	6	7	6	6	6	7	6	6	7	2	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	12	3	4	10
10	7	6	5	5	5	2	7	7	6	6	7	7	7	7	7	1	2	3	1	0	0	0	0	0	0	20	185	24	2	NA	1	NA	2	24	7	5	10
12	6	5	5	5	6	7	7	6	6	7	7	7	6	7	6	1	1	2	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	30	3	3	10
13	4	4	5	4	4	5	7	7	7	7	7	7	6	6	6	5	1	3	1	0	0	0	0	0	0	20	185	3	2	NA	1	NA	1	8	3	3	1
12	7	6	6	6	6	6	7	7	7	7	7	7	4	6	6	2	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	3	NA	1	21	1	6	10
3	7	6	7	6	7	7	7	7	7	7	7	7	7	7	7	2	2	3	1	0	0	0	0	0	0	20	185	3	2	NA	3	NA	1	25	1	5	10
16	7	6	6	5	4	5	4	3	3	4	4	4	7	6	7	1	1	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	5	4	5	10
9	6	6	6	5	5	6	5	4	4	5	4	4	5	5	5	2	1	3	1	0	0	0	0	0	0	21	185	42	2	NA	1	NA	1	14	4	7	10
7	6	4	5	5	4	6	5	5	5	5	4	5	4	5	4	3	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	NA	3	3	10
12	5	5	5	4	4	4	5	5	4	4	5	5	3	3	3	5	1	4	1	0	0	0	0	0	0	21	185	42	2	NA	1	NA	1	6	1	5	10
12	5	4	4	5	3	4	7	5	5	4	5	5	1	1	1	4	2	2	1	0	0	0	0	0	0	21	127	NA	2	NA	1	NA	1	14	1	5	10
39	4	3	5	4	5	5	6	4	4	6	5	5	2	5	2	5	1	2	1	0	0	0	0	0	0	21	185	24	2	NA	1	NA	1	25	4	3	10
11	4	4	4	4	4	5	6	5	5	5	6	5	4	4	4	5	1	2	1	0	0	0	0	0	0	21	185	12	2	NA	1	NA	1	NA	1	4	10
7	6	6	6	5	7	6	4	5	5	6	6	5	6	6	6	2	1	4	1	0	0	0	0	0	0	21	185	12	2	NA	1	NA	3	7	1	6	10
11	6	4	5	5	5	5	5	5	5	6	6	5	6	6	6	2	2	5	1	0	0	0	0	0	0	21	185	21	2	NA	1	NA	1	6	7	6	10
5	6	5	6	7	6	6	6	7	6	6	7	5	5	6	6	5	2	5	1	0	0	0	0	0	0	21	185	23	2	NA	1	NA	8	14	1	5	10
11	6	5	5	5	5	6	6	6	5	5	5	6	6	7	7	1	1	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	1	1	5	28
11	6	6	6	6	5	6	5	5	6	6	5	6	6	6	6	2	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	24	9	5	10
11	5	5	5	5	6	4	5	5	5	5	6	6	1	1	1	4	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	NA	7	5	10
12	6	5	5	4	3	5	6	5	5	5	6	6	1	1	1	5	2	4	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	23	3	3	28
6	6	6	6	6	6	6	7	6	6	5	6	6	6	6	6	1	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	2	6	1	5	10
9	7	7	6	6	6	6	6	5	6	6	6	6	6	6	6	2	2	3	1	0	0	0	0	0	0	21	185	42	2	NA	1	NA	1	15	4	5	10
33	6	6	6	6	5	7	7	5	6	6	6	6	5	6	5	5	1	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	8	1	5	10
11	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	1	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	15	7	4	10
11	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	25	1	4	10
10	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	1	3	1	0	0	0	0	0	0	21	185	1	2	NA	1	NA	1	NA	4	7	10
8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	1	3	1	0	0	0	0	0	0	21	185	42	2	NA	1	NA	1	7	1	5	10
16	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	24	8	7	28
23	6	4	6	6	6	6	6	6	6	5	4	7	2	6	2	4	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	12	1	5	10
13	5	4	5	5	6	6	7	6	6	5	6	7	1	1	1	5	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	NA	1	4	10
5	5	6	6	5	6	6	6	6	6	6	6	7	6	6	6	1	1	6	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	5	5	5	10
16	6	5	6	6	4	6	7	7	6	6	6	7	7	7	7	1	1	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	NA	1	3	10
8	6	6	6	6	6	6	6	7	7	6	6	7	4	5	4	2	2	3	1	0	0	0	0	0	0	21	185	3	2	NA	1	NA	1	23	1	3	10
9	7	7	7	7	7	7	7	7	7	7	7	7	6	6	6	2	1	3	1	0	0	0	0	0	0	21	185	42	2	NA	1	NA	6	2	1	5	10
11	6	6	5	5	7	7	5	5	5	4	5	5	7	7	7	1	1	4	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	5	1	5	10
3	5	6	6	6	5	5	6	5	5	4	5	5	1	3	3	1	1	5	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	6	3	7	10
14	5	6	6	5	6	6	5	5	4	5	5	5	6	6	6	2	1	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	22	1	5	10
14	6	5	6	6	6	6	4	5	5	5	6	5	5	6	6	2	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	NA	1	4	10
7	6	6	6	6	6	6	6	6	6	6	5	6	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	8	NA	1	7	10
11	5	4	5	4	4	4	6	6	5	6	6	6	5	6	5	4	2	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	24	1	5	10
9	7	7	7	7	7	7	6	5	6	6	6	6	7	7	7	1	1	5	1	0	0	0	0	0	0	22	185	32	2	NA	1	NA	1	NA	1	5	10
14	5	5	5	4	4	4	6	6	6	6	6	6	2	2	2	5	1	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	8	13	3	6	10
7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	2	2	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	NA	4	4	10
7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	14	8	5	1
11	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	1	2	3	1	0	0	0	0	0	0	22	185	24	2	NA	5	NA	1	1	5	5	10
13	3	4	4	2	5	6	7	6	6	5	4	7	6	6	6	5	1	5	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	NA	3	4	10
5	6	6	7	6	6	7	3	5	5	6	6	7	4	6	5	2	1	5	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	1	3	4	10
13	6	6	5	6	7	6	7	7	7	6	6	7	7	7	6	2	2	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	24	8	5	10
9	5	5	6	6	7	7	5	5	6	5	7	7	7	7	7	1	2	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	27	7	5	10
7	6	6	6	5	5	6	6	5	6	6	7	7	6	6	6	1	1	3	1	0	0	0	0	0	0	22	185	42	2	NA	1	NA	1	5	3	3	10
4	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	1	2	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	21	7	5	10
5	6	6	6	6	6	6	6	6	6	6	7	7	6	6	6	1	2	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	21	7	5	10
11	6	6	6	6	5	6	7	6	6	6	7	7	7	7	7	5	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	14	3	4	10
12	7	6	6	5	6	6	7	7	6	6	7	7	7	7	7	2	1	2	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	5	3	5	10
11	6	5	5	5	5	6	7	7	7	6	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	1	NA	4	7	10
5	7	6	7	6	7	7	7	7	7	7	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	2	14	1	5	28
2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	3	1	0	0	0	0	0	0	22	185	3	2	NA	1	NA	2	14	1	3	10
12	7	6	7	6	7	7	6	6	5	5	6	6	7	7	7	1	1	3	1	0	0	0	0	0	0	23	185	24	2	NA	1	NA	2	14	4	6	10
