QRT,GRIP_TOT,GROP_TOT,NET_TOT,TOT_OP_EXP,NONOP_REV
2007Q1,360433989.70,137816159.00,135648604.80,135053536.80,4600488.49
2007Q2,365394780.50,141802414.80,137983760.10,136873664.80,5283497.55
2007Q3,372761903.00,145865451.80,140664299.90,140106308.20,4728838.52
2007Q4,378582820.80,149322858.60,142887216.40,143758244.10,5370146.00
2008Q1,389305363.00,152550242.00,147714982.00,147037699.00,806504.00
2008Q2,393324454.00,155177157.00,148694112.00,149729122.00,-746252.00
2008Q3,385969419.00,154268090.00,146521738.00,146403775.00,-4001081.00
2008Q4,389784425.00,158342402.00,148171898.00,146295549.00,-13197038.00
2009Q1,389034867.00,161369981.00,147352694.00,146091524.00,-10477160.00
2009Q2,392989152.00,166411135.00,149609912.00,146741006.00,-6183110.00
2009Q3,397732711.00,170630908.00,152357486.00,148101356.00,-445054.00
2009Q4,403844443.00,173892408.00,154653195.00,149611342.00,5947343.00
2010Q1,419796410.00,182371695.00,160728339.00,155501780.00,8421066.00
2010Q2,437443939.00,191920837.00,166706002.00,162430310.00,3261843.00
2010Q3,441602035.00,196726639.00,166963513.00,163714689.00,2629733.00
2010Q4,430716400.00,195818130.00,171312110.00,168556880.00,4550840.00
2011Q1,437436578.00,202962113.00,172072238.00,171787445.00,8040446.00
2011Q2,455397767.00,214519735.00,179307997.00,178883999.00,10702169.00
2011Q3,457264201.00,218937277.00,181072377.00,180471117.00,4350779.00
2011Q4,463797753.00,222413528.00,175149152.00,175564793.00,2266369.00
2012Q1,468651269.00,228148893.00,180489418.00,175968520.00,762846.00
2012Q2,478142267.00,232586789.00,184904616.00,177804012.00,-3584597.00
2012Q3,483483559.00,236780402.00,189454431.00,180880930.00,3419871.00
2012Q4,487048848.00,242061822.00,190811998.00,181867079.00,3662139.00
2013Q1,475270216.00,237190528.00,185283006.00,178277259.00,1619557.00
2013Q2,469960872.00,240696831.00,187190717.00,184027178.00,6014464.00
2013Q3,469960872.00,240696831.00,187190717.00,184027178.00,6014464.00
2013Q4,478948647.00,258649144.00,192287674.00,190494566.00,8118100.00
2014Q1,503651517.00,280325830.00,202816954.00,201897447.00,8250013.00
2014Q2,489278185.00,277950367.00,190951716.00,189839766.00,9477710.00
2014Q3,495271895.00,284077576.00,192377750.00,189900810.00,5762438.00
2014Q4,499975361.00,288329013.00,199585981.00,194732674.00,3205597.00
2015Q1,509623574.00,293700085.00,205576053.00,199871010.00,3564042.00
2015Q2,515721631.00,299022310.00,210333344.00,204193445.00,2543539.00
2015Q3,523372034.00,304612441.00,215308118.00,208389179.00,238540.00
2015Q4,533662284.00,310662579.00,213131865.00,209038477.00,751262.00
2016Q1,545885117.00,318617690.00,217615113.00,211196134.00,-1146292.00
2016Q2,538622810.00,314829181.00,213672055.00,207165116.00,257574.00
2016Q3,543944727.00,321043040.00,213302972.00,219173562.00,3725926.00
