unemploy	month	year
6.7	1	1996
6.7	2	1996
6.4	3	1996
5.9	4	1996
5.2	5	1996
4.8	6	1996
4.8	7	1996
4	8	1996
4.2	9	1996
4.4	10	1996
5	11	1996
5	12	1996
6.4	1	1997
6.5	2	1997
6.3	3	1997
5.9	4	1997
4.9	5	1997
4.8	6	1997
4.5	7	1997
4	8	1997
4.1	9	1997
4.3	10	1997
4.8	11	1997
5	12	1997
6.2	1	1998
5.7	2	1998
5.6	3	1998
4.6	4	1998
4	5	1998
4.2	6	1998
4.1	7	1998
3.6	8	1998
3.7	9	1998.66666666667
4.1	10	1998.75
4.3	11	1998.83333333333
4	12	1998.91666666667
4.9	1	1999
5	2	1999.08333333333
4.6	3	1999.16666666667
4.3	4	1999.25
3.9	5	1999.33333333333
4	6	1999.41666666667
3.6	7	1999.5
3.3	8	1999.58333333333
3.1	9	1999.66666666667
3.3	10	1999.75
3.7	11	1999.83333333333
3.7	12	1999.91666666667
4.4	1	2000
4.4	2	2000.08333333333
4.1	3	2000.16666666667
3.5	4	2000.25
3.1	5	2000.33333333333
3	6	2000.41666666667
2.8	7	2000.5
2.5	8	2000.58333333333
2.6	9	2000.66666666667
2.8	10	2000.75
3.1	11	2000.83333333333
3	12	2000.91666666667
3.9	1	2001
4.2	2	2001.08333333333
4	3	2001.16666666667
4.1	4	2001.25
3.5	5	2001.33333333333
3.5	6	2001.41666666667
3.4	7	2001.5
3.1	8	2001.58333333333
3.4	9	2001.66666666667
3.7	10	2001.75
4	11	2001.83333333333
4	12	2001.91666666667
5	1	2002
4.9	2	2002.08333333333
5	3	2002.16666666667
4.7	4	2002.25
4	5	2002.33333333333
4.2	6	2002.41666666667
4	7	2002.5
3.6	8	2002.58333333333
3.7	9	2002.66666666667
3.9	10	2002.75
4.5	11	2002.83333333333
4.6	12	2002.91666666667
5.6	1	2003
5.8	2	2003.08333333333
5.6	3	2003.16666666667
5.5	4	2003.25
4.8	5	2003.33333333333
4.9	6	2003.41666666667
4.8	7	2003.5
4.3	8	2003.58333333333
4.5	9	2003.66666666667
4.6	10	2003.75
4.8	11	2003.83333333333
4.7	12	2003.91666666667
5.6	1	2004
5.6	2	2004.08333333333
5.5	3	2004.16666666667
4.8	4	2004.25
4.2	5	2004.33333333333
4.3	6	2004.41666666667
4.2	7	2004.5
3.8	8	2004.58333333333
4	9	2004.66666666667
4.2	10	2004.75
4.6	11	2004.83333333333
4.6	12	2004.91666666667
5.5	1	2005
5.8	2	2005.08333333333
5.5	3	2005.16666666667
5.2	4	2005.25
4.7	5	2005.33333333333
4.6	6	2005.41666666667
4.5	7	2005.5
4.1	8	2005.58333333333
4.4	9	2005.66666666667
4.4	10	2005.75
4.8	11	2005.83333333333
4.6	12	2005.91666666667
5.3	1	2006
5.6	2	2006.08333333333
4.9	3	2006.16666666667
4.6	4	2006.25
4.2	5	2006.33333333333
4.4	6	2006.41666666667
4.4	7	2006.5
3.9	8	2006.58333333333
