Report_Date,Gold_Price ($/TroyOz)
12/1/2016,1157.36
11/1/2016,1238.35
10/1/2016,1266.28
9/1/2016,1326.61
8/1/2016,1340.17
7/1/2016,1336.65
6/1/2016,1276.4
5/1/2016,1260.95
4/1/2016,1242.26
3/1/2016,1245.14
2/1/2016,1199.5
1/1/2016,1097.91
12/1/2015,1068.25
11/1/2015,1086.44
10/1/2015,1159.25
9/1/2015,1124.77
8/1/2015,1117.93
7/1/2015,1128.31
6/1/2015,1181.5
5/1/2015,1198.63
4/1/2015,1198.93
3/1/2015,1178.63
2/1/2015,1227.08
1/1/2015,1250.75
12/1/2014,1200.62
11/1/2014,1175.33
10/1/2014,1222.49
9/1/2014,1236.55
8/1/2014,1295.13
7/1/2014,1310.59
6/1/2014,1279.1
5/1/2014,1288.74
4/1/2014,1298.45
3/1/2014,1336.08
2/1/2014,1299.58
1/1/2014,1244.27
12/1/2013,1221.51
11/1/2013,1275.86
10/1/2013,1316.58
9/1/2013,1348.6
8/1/2013,1351.74
7/1/2013,1285.52
6/1/2013,1343.35
5/1/2013,1414.03
4/1/2013,1487.86
3/1/2013,1593.09
2/1/2013,1627.57
1/1/2013,1671.85
12/1/2012,1684.76
11/1/2012,1721.64
10/1/2012,1746.58
9/1/2012,1744.81
8/1/2012,1630.31
7/1/2012,1589.9
6/1/2012,1598.76
5/1/2012,1591.19
4/1/2012,1649.69
3/1/2012,1673.77
2/1/2012,1742.14
1/1/2012,1652.21
12/1/2011,1641.84
11/1/2011,1738.11
10/1/2011,1665.21
9/1/2011,1770.95
8/1/2011,1757.21
7/1/2011,1572.21
6/1/2011,1528.66
5/1/2011,1512.6
4/1/2011,1479.76
3/1/2011,1424
2/1/2011,1372.73
1/1/2011,1356.4
12/1/2010,1390.55
11/1/2010,1369.89
10/1/2010,1342.02
9/1/2010,1270.98
8/1/2010,1215.81
7/1/2010,1192.97
6/1/2010,1232.92
5/1/2010,1205.43
4/1/2010,1148.69
3/1/2010,1113.34
2/1/2010,1095.41
1/1/2010,1117.96
12/1/2009,1134.72
11/1/2009,1127.04
10/1/2009,1043.16
9/1/2009,996.59
8/1/2009,949.38
7/1/2009,934.23
6/1/2009,945.67
5/1/2009,928.65
4/1/2009,890.2
3/1/2009,924.27
2/1/2009,943
1/1/2009,858.69
12/1/2008,816.09
11/1/2008,760.86
10/1/2008,806.62
9/1/2008,829.93
8/1/2008,839.03
7/1/2008,939.77
6/1/2008,889.49
5/1/2008,888.66
4/1/2008,909.71
3/1/2008,968.43
2/1/2008,922.3
1/1/2008,889.6
12/1/2007,803.2
11/1/2007,806.25
10/1/2007,754.6
9/1/2007,712.65
8/1/2007,665.41
7/1/2007,665.38
6/1/2007,655.66
5/1/2007,667.31
4/1/2007,679.37
3/1/2007,654.9
2/1/2007,664.75
1/1/2007,631.17
12/1/2006,629.79
11/1/2006,627.83
10/1/2006,585.78
9/1/2006,598.19
8/1/2006,632.59
7/1/2006,633.71
6/1/2006,596.15
5/1/2006,675.39
4/1/2006,610.65
3/1/2006,557.09
2/1/2006,555
1/1/2006,549.86
12/1/2005,510.1
11/1/2005,476.67
10/1/2005,469.9
9/1/2005,456.05
8/1/2005,437.93
7/1/2005,424.48
6/1/2005,430.66
5/1/2005,421.87
4/1/2005,429.23
3/1/2005,433.85
2/1/2005,423.35
1/1/2005,424.03
12/1/2004,442.08
11/1/2004,439.38
10/1/2004,420.46
9/1/2004,405.28
8/1/2004,400.51
7/1/2004,398.09
6/1/2004,392.37
5/1/2004,383.78
4/1/2004,403.26
3/1/2004,406.67
2/1/2004,404.88
1/1/2004,413.79
12/1/2003,406.95
11/1/2003,389.91
10/1/2003,378.92
9/1/2003,378.95
8/1/2003,359.77
7/1/2003,351.02
6/1/2003,356.35
5/1/2003,355.68
4/1/2003,328.18
3/1/2003,340.55
2/1/2003,358.97
1/1/2003,356.86
12/1/2002,331.92
11/1/2002,319.07
10/1/2002,316.56
9/1/2002,319.14
8/1/2002,310.26
7/1/2002,313.29
6/1/2002,321.18
5/1/2002,314.49
4/1/2002,302.68
3/1/2002,294.06
2/1/2002,295.5
1/1/2002,281.51
12/1/2001,275.85
11/1/2001,276.16
10/1/2001,283.06
9/1/2001,283.42
8/1/2001,272.39
7/1/2001,267.53
6/1/2001,270.23
5/1/2001,272.36
4/1/2001,260.48
3/1/2001,263.03
2/1/2001,261.87
1/1/2001,265.49
12/1/2000,271.45
11/1/2000,266.01
10/1/2000,270
9/1/2000,273.68
8/1/2000,274.47
7/1/2000,281.59
6/1/2000,285.73
5/1/2000,275.19
4/1/2000,279.69
3/1/2000,286.39
2/1/2000,299.86
1/1/2000,284.32
12/1/1999,283.07
11/1/1999,293.18
10/1/1999,310.72
9/1/1999,264.74
8/1/1999,256.69
7/1/1999,256.08
6/1/1999,261.31
5/1/1999,276.44
4/1/1999,282.62
3/1/1999,285.96
2/1/1999,287.33
1/1/1999,287.08
12/1/1998,291.68
11/1/1998,294.12
10/1/1998,295.93
9/1/1998,288.98
8/1/1998,284.11
7/1/1998,292.87
6/1/1998,292.32
5/1/1998,299.1
4/1/1998,308.29
3/1/1998,295.94
2/1/1998,297.49
1/1/1998,289.1
12/1/1997,288.74
11/1/1997,306.04
10/1/1997,324.87
9/1/1997,322.82
8/1/1997,324.01
7/1/1997,324.1
6/1/1997,340.76
5/1/1997,343.84
4/1/1997,344.47
3/1/1997,351.81
2/1/1997,346.58
1/1/1997,355.11
12/1/1996,369
11/1/1996,377.85
10/1/1996,381.07
9/1/1996,383.14
8/1/1996,387.35
7/1/1996,383.47
6/1/1996,385.27
5/1/1996,391.93
4/1/1996,392.85
3/1/1996,396.21
2/1/1996,404.76
1/1/1996,399.45
12/1/1995,387.44
11/1/1995,385.31
10/1/1995,383.14
9/1/1995,383.06
8/1/1995,383.67
7/1/1995,386.23
6/1/1995,387.56
5/1/1995,385.22
4/1/1995,391.03
3/1/1995,382.12
2/1/1995,376.64
1/1/1995,378.55
12/1/1994,379.29
11/1/1994,384.39
10/1/1994,389.77
9/1/1994,391.58
8/1/1994,380.36
7/1/1994,385.49
6/1/1994,385.64
5/1/1994,381.43
4/1/1994,377.27
3/1/1994,384.13
2/1/1994,381.91
1/1/1994,386.88
12/1/1993,383.3
11/1/1993,373.83
10/1/1993,364.18
9/1/1993,355.28
8/1/1993,378.84
7/1/1993,392.19
6/1/1993,371.89
5/1/1993,367.18
4/1/1993,342.15
3/1/1993,330.08
2/1/1993,329.31
1/1/1993,329.01
12/1/1992,334.82
11/1/1992,335.02
10/1/1992,344.38
9/1/1992,345.43
8/1/1992,343.06
7/1/1992,352.72
6/1/1992,340.81
5/1/1992,337.24
4/1/1992,338.62
3/1/1992,344.34
2/1/1992,353.91
1/1/1992,354.45
12/1/1991,361.73
11/1/1991,360.17
10/1/1991,358.69
9/1/1991,348.74
8/1/1991,356.31
7/1/1991,367.69
6/1/1991,366.72
5/1/1991,356.95
4/1/1991,358.38
3/1/1991,363.34
2/1/1991,363.83
1/1/1991,383.64
12/1/1990,376.95
11/1/1990,381.73
10/1/1990,380.74
9/1/1990,389.32
8/1/1990,394.73
7/1/1990,362.53
6/1/1990,352.33
5/1/1990,369.05
4/1/1990,374.24
3/1/1990,393.06
2/1/1990,416.81
1/1/1990,410.11
12/1/1989,409.39
11/1/1989,394.26
10/1/1989,366.88
9/1/1989,361.75
8/1/1989,365.14
7/1/1989,375.04
6/1/1989,367.6
5/1/1989,371.05
4/1/1989,384.4
3/1/1989,390.15
2/1/1989,387.51
1/1/1989,404.01
