date,value
12/1/2016,3.5
11/1/2016,2.7
10/1/2016,2.59
9/1/2016,2.47
8/1/2016,2.42
7/1/2016,2.35
6/1/2016,1.9
5/1/2016,1.55
4/1/2016,1.61
3/1/2016,1.73
2/1/2016,2.43
1/1/2016,2.8
12/1/2015,2.28
11/1/2015,2.4
10/1/2015,3.23
9/1/2015,2.75
8/1/2015,2.74
7/1/2015,2.66
6/1/2015,2.56
5/1/2015,2.52
4/1/2015,2.59
3/1/2015,3.9
2/1/2015,5.46
1/1/2015,4.75
12/1/2014,4.44
11/1/2014,3.97
10/1/2014,3.87
9/1/2014,4.24
8/1/2014,3.87
7/1/2014,4.77
6/1/2014,5.32
5/1/2014,4.6
4/1/2014,5.11
3/1/2014,8.12
2/1/2014,9.11
1/1/2014,7.15
12/1/2013,4.75
11/1/2013,3.77
10/1/2013,3.4
9/1/2013,3.49
8/1/2013,3.17
7/1/2013,3.41
6/1/2013,3.9
5/1/2013,3.94
4/1/2013,3.98
3/1/2013,3.84
2/1/2013,3.99
1/1/2013,4.14
12/1/2012,3.93
11/1/2012,4.03
10/1/2012,3.16
9/1/2012,2.67
8/1/2012,2.83
7/1/2012,2.78
6/1/2012,2.35
5/1/2012,2.29
4/1/2012,2.04
3/1/2012,2.36
2/1/2012,2.86
1/1/2012,3.27
12/1/2011,3.66
11/1/2011,3.58
10/1/2011,4.06
9/1/2011,3.92
8/1/2011,4.4
7/1/2011,4.39
6/1/2011,4.6
5/1/2011,4.31
4/1/2011,4.35
3/1/2011,4.24
2/1/2011,4.49
1/1/2011,4.66
12/1/2010,4.56
11/1/2010,3.96
10/1/2010,3.83
9/1/2010,3.76
8/1/2010,4.13
7/1/2010,4.4
6/1/2010,4.23
5/1/2010,4.13
4/1/2010,4.13
3/1/2010,4.87
2/1/2010,5.62
1/1/2010,5.95
12/1/2009,5.23
11/1/2009,4.4
10/1/2009,3.92
9/1/2009,2.91
8/1/2009,3.29
7/1/2009,3.5
6/1/2009,3.51
5/1/2009,3.48
4/1/2009,3.67
3/1/2009,4.34
2/1/2009,5.21
1/1/2009,6.18
12/1/2008,6.74
11/1/2008,6.54
10/1/2008,6.87
9/1/2008,7.54
8/1/2008,8.67
7/1/2008,11.78
6/1/2008,11.71
5/1/2008,10.8
4/1/2008,9.61
3/1/2008,9.03
2/1/2008,8.34
1/1/2008,7.66
12/1/2007,7.51
11/1/2007,7.21
10/1/2007,6.35
9/1/2007,5.49
8/1/2007,6
7/1/2007,6.56
6/1/2007,7.32
5/1/2007,7.45
4/1/2007,7.24
3/1/2007,7.45
2/1/2007,7.39
1/1/2007,6.5
12/1/2006,7.6
11/1/2006,7.24
10/1/2006,4.88
9/1/2006,5.83
8/1/2006,6.74
7/1/2006,5.95
6/1/2006,5.83
5/1/2006,6.53
4/1/2006,6.73
3/1/2006,7
2/1/2006,7.96
1/1/2006,10.11
12/1/2005,10.91
11/1/2005,11.31
10/1/2005,11.99
9/1/2005,9.96
8/1/2005,7.5
7/1/2005,6.82
6/1/2005,6.35
5/1/2005,6.58
4/1/2005,6.92
3/1/2005,6.24
2/1/2005,6.14
1/1/2005,6.3
12/1/2004,6.96
11/1/2004,6.98
10/1/2004,5.38
9/1/2004,4.96
8/1/2004,5.62
7/1/2004,5.75
6/1/2004,6.06
5/1/2004,5.63
4/1/2004,5.21
3/1/2004,5.15
2/1/2004,5.67
1/1/2004,5.98
12/1/2003,5.08
11/1/2003,4.51
10/1/2003,4.48
9/1/2003,4.67
8/1/2003,4.54
7/1/2003,5.11
6/1/2003,5.53
5/1/2003,5.04
4/1/2003,5
3/1/2003,7.61
2/1/2003,5.71
1/1/2003,4.89
12/1/2002,4.2
11/1/2002,4.04
10/1/2002,3.56
9/1/2002,3.06
8/1/2002,2.7
7/1/2002,2.84
6/1/2002,3.08
5/1/2002,3.25
4/1/2002,3.27
3/1/2002,2.61
2/1/2002,2.32
1/1/2002,2.73
12/1/2001,2.68
11/1/2001,2.95
10/1/2001,2.14
9/1/2001,2.63
8/1/2001,3.14
7/1/2001,3.17
6/1/2001,3.94
5/1/2001,4.95
4/1/2001,5.35
3/1/2001,5.42
2/1/2001,6.45
1/1/2001,9.47
12/1/2000,7.35
11/1/2000,4.86
10/1/2000,5.16
9/1/2000,4.15
8/1/2000,3.62
7/1/2000,3.94
6/1/2000,3.87
5/1/2000,3.05
4/1/2000,2.86
3/1/2000,2.61
2/1/2000,2.6
1/1/2000,2.44
12/1/1999,2.34
11/1/1999,2.85
10/1/1999,2.5
9/1/1999,2.63
8/1/1999,2.39
7/1/1999,2.18
6/1/1999,2.13
5/1/1999,2.17
4/1/1999,1.85
3/1/1999,1.8
2/1/1999,1.93
1/1/1999,2.03
12/1/1998,2.16
11/1/1998,2.12
10/1/1998,1.93
9/1/1998,1.68
8/1/1998,1.82
7/1/1998,1.97
6/1/1998,1.88
5/1/1998,2.02
4/1/1998,2.04
3/1/1998,1.98
2/1/1998,1.94
1/1/1998,2.08
12/1/1997,2.19
11/1/1997,2.72
10/1/1997,2.33
9/1/1997,2.01
8/1/1997,1.83
7/1/1997,1.84
6/1/1997,1.88
5/1/1997,1.83
4/1/1997,1.67
3/1/1997,1.72
2/1/1997,2.52
1/1/1997,3.26
12/1/1996,3
11/1/1996,2.26
10/1/1996,1.71
9/1/1996,1.62
8/1/1996,1.8
7/1/1996,1.84
6/1/1996,1.7
5/1/1996,1.72
4/1/1996,1.87
3/1/1996,1.92
2/1/1996,1.95
1/1/1996,2.09
12/1/1995,1.8
11/1/1995,1.61
10/1/1995,1.48
9/1/1995,1.43
8/1/1995,1.34
7/1/1995,1.4
6/1/1995,1.47
5/1/1995,1.46
4/1/1995,1.37
3/1/1995,1.4
2/1/1995,1.46
1/1/1995,1.6
12/1/1994,1.72
11/1/1994,1.71
10/1/1994,1.54
9/1/1994,1.66
8/1/1994,1.76
7/1/1994,1.82
6/1/1994,1.77
5/1/1994,1.94
4/1/1994,1.96
3/1/1994,2.21
2/1/1994,2.24
1/1/1994,2.11
12/1/1993,2.27
11/1/1993,2.07
10/1/1993,1.93
9/1/1993,2.09
8/1/1993,1.97
