date,value
1/1/2017,52.5
12/1/2016,51.97
11/1/2016,45.66
10/1/2016,49.78
9/1/2016,45.18
8/1/2016,44.72
7/1/2016,44.65
6/1/2016,48.76
5/1/2016,46.71
4/1/2016,40.75
3/1/2016,37.55
2/1/2016,30.32
1/1/2016,31.68
12/1/2015,37.19
11/1/2015,42.44
10/1/2015,46.22
9/1/2015,45.48
8/1/2015,42.87
7/1/2015,50.9
6/1/2015,59.82
5/1/2015,59.27
4/1/2015,54.45
3/1/2015,47.82
2/1/2015,50.58
1/1/2015,47.22
12/1/2014,59.29
11/1/2014,75.79
10/1/2014,84.4
9/1/2014,93.21
8/1/2014,96.54
7/1/2014,103.59
6/1/2014,105.79
5/1/2014,102.18
4/1/2014,102.07
3/1/2014,100.8
2/1/2014,100.82
1/1/2014,94.62
12/1/2013,97.63
11/1/2013,93.86
10/1/2013,100.54
9/1/2013,106.29
8/1/2013,106.57
7/1/2013,104.67
6/1/2013,95.77
5/1/2013,94.51
4/1/2013,92.02
3/1/2013,92.94
2/1/2013,95.31
1/1/2013,94.76
12/1/2012,87.86
11/1/2012,86.53
10/1/2012,89.49
9/1/2012,94.51
8/1/2012,94.13
7/1/2012,87.9
6/1/2012,82.3
5/1/2012,94.66
4/1/2012,103.32
3/1/2012,106.16
2/1/2012,102.2
1/1/2012,100.27
12/1/2011,98.56
11/1/2011,97.16
10/1/2011,86.32
9/1/2011,85.52
8/1/2011,86.33
7/1/2011,97.3
6/1/2011,96.26
5/1/2011,100.9
4/1/2011,109.53
3/1/2011,102.86
2/1/2011,88.58
1/1/2011,89.17
12/1/2010,89.15
11/1/2010,84.25
10/1/2010,81.89
9/1/2010,75.24
8/1/2010,76.6
7/1/2010,76.32
6/1/2010,75.34
5/1/2010,73.74
4/1/2010,84.29
3/1/2010,81.2
2/1/2010,76.39
1/1/2010,78.33
12/1/2009,74.47
11/1/2009,77.99
10/1/2009,75.72
9/1/2009,69.41
8/1/2009,71.05
7/1/2009,64.15
6/1/2009,69.64
5/1/2009,59.03
4/1/2009,49.65
3/1/2009,47.94
