Report_Date,Crude_Price,Gas_Price
1/1/2017,52.5,3.5
12/1/2016,51.97,2.7
11/1/2016,45.66,2.59
10/1/2016,49.78,2.47
9/1/2016,45.18,2.42
8/1/2016,44.72,2.35
7/1/2016,44.65,1.9
6/1/2016,48.76,1.55
5/1/2016,46.71,1.61
4/1/2016,40.75,1.73
3/1/2016,37.55,2.43
2/1/2016,30.32,2.8
1/1/2016,31.68,2.28
12/1/2015,37.19,2.4
11/1/2015,42.44,3.23
10/1/2015,46.22,2.75
9/1/2015,45.48,2.74
8/1/2015,42.87,2.66
7/1/2015,50.9,2.56
6/1/2015,59.82,2.52
5/1/2015,59.27,2.59
4/1/2015,54.45,3.9
3/1/2015,47.82,5.46
2/1/2015,50.58,4.75
1/1/2015,47.22,4.44
12/1/2014,59.29,3.97
11/1/2014,75.79,3.87
10/1/2014,84.4,4.24
9/1/2014,93.21,3.87
8/1/2014,96.54,4.77
7/1/2014,103.59,5.32
6/1/2014,105.79,4.6
5/1/2014,102.18,5.11
4/1/2014,102.07,8.12
3/1/2014,100.8,9.11
2/1/2014,100.82,7.15
1/1/2014,94.62,4.75
12/1/2013,97.63,3.77
11/1/2013,93.86,3.4
10/1/2013,100.54,3.49
9/1/2013,106.29,3.17
8/1/2013,106.57,3.41
7/1/2013,104.67,3.9
6/1/2013,95.77,3.94
5/1/2013,94.51,3.98
4/1/2013,92.02,3.84
3/1/2013,92.94,3.99
2/1/2013,95.31,4.14
1/1/2013,94.76,3.93
12/1/2012,87.86,4.03
11/1/2012,86.53,3.16
10/1/2012,89.49,2.67
9/1/2012,94.51,2.83
8/1/2012,94.13,2.78
7/1/2012,87.9,2.35
6/1/2012,82.3,2.29
5/1/2012,94.66,2.04
4/1/2012,103.32,2.36
3/1/2012,106.16,2.86
2/1/2012,102.2,3.27
1/1/2012,100.27,3.66
12/1/2011,98.56,3.58
11/1/2011,97.16,4.06
10/1/2011,86.32,3.92
9/1/2011,85.52,4.4
8/1/2011,86.33,4.39
7/1/2011,97.3,4.6
6/1/2011,96.26,4.31
5/1/2011,100.9,4.35
4/1/2011,109.53,4.24
3/1/2011,102.86,4.49
2/1/2011,88.58,4.66
1/1/2011,89.17,4.56
12/1/2010,89.15,3.96
11/1/2010,84.25,3.83
10/1/2010,81.89,3.76
9/1/2010,75.24,4.13
8/1/2010,76.6,4.4
7/1/2010,76.32,4.23
6/1/2010,75.34,4.13
5/1/2010,73.74,4.13
4/1/2010,84.29,4.87
3/1/2010,81.2,5.62
2/1/2010,76.39,5.95
1/1/2010,78.33,5.23
12/1/2009,74.47,4.4
11/1/2009,77.99,3.92
10/1/2009,75.72,2.91
9/1/2009,69.41,3.29
8/1/2009,71.05,3.5
7/1/2009,64.15,3.51
6/1/2009,69.64,3.48
5/1/2009,59.03,3.67
4/1/2009,49.65,4.34
3/1/2009,47.94,5.21
2/1/2009,39.09,6.18
1/1/2009,41.71,6.74
12/1/2008,41.12,6.54
11/1/2008,57.31,6.87
10/1/2008,76.61,7.54
9/1/2008,104.11,8.67
8/1/2008,116.67,11.78
7/1/2008,133.37,11.71
6/1/2008,133.88,10.8
5/1/2008,125.4,9.61
4/1/2008,112.58,9.03
3/1/2008,105.45,8.34
2/1/2008,95.39,7.66
1/1/2008,92.97,7.51
12/1/2007,91.69,7.21
11/1/2007,94.77,6.35
10/1/2007,85.8,5.49
9/1/2007,79.92,6
8/1/2007,72.36,6.56
7/1/2007,74.12,7.32
6/1/2007,67.49,7.45
5/1/2007,63.46,7.24
4/1/2007,63.98,7.45
3/1/2007,60.44,7.39
2/1/2007,59.28,6.5
1/1/2007,54.51,7.6
12/1/2006,61.96,7.24
11/1/2006,59.08,4.88
10/1/2006,58.89,5.83
9/1/2006,63.8,6.74
8/1/2006,73.04,5.95
7/1/2006,74.41,5.83
6/1/2006,70.95,6.53
5/1/2006,70.84,6.73
4/1/2006,69.44,7
3/1/2006,62.69,7.96
2/1/2006,61.63,10.11
1/1/2006,65.49,10.91
12/1/2005,59.41,11.31
11/1/2005,58.32,11.99
10/1/2005,62.26,9.96
9/1/2005,65.59,7.5
8/1/2005,64.99,6.82
7/1/2005,59,6.35
6/1/2005,56.35,6.58
5/1/2005,49.83,6.92
4/1/2005,52.98,6.24
3/1/2005,54.19,6.14
2/1/2005,48.15,6.3
1/1/2005,46.84,6.96
12/1/2004,43.15,6.98
11/1/2004,48.47,5.38
10/1/2004,53.28,4.96
9/1/2004,45.94,5.62
8/1/2004,44.9,5.75
7/1/2004,40.78,6.06
6/1/2004,38.03,5.63
5/1/2004,40.28,5.21
4/1/2004,36.75,5.15
3/1/2004,36.74,5.67
2/1/2004,34.69,5.98
1/1/2004,34.31,5.08
12/1/2003,32.13,4.51
11/1/2003,31.11,4.48
10/1/2003,30.34,4.67
9/1/2003,28.31,4.54
8/1/2003,31.57,5.11
7/1/2003,30.76,5.53
6/1/2003,30.66,5.04
5/1/2003,28.11,5
4/1/2003,28.17,7.61
3/1/2003,33.51,5.71
2/1/2003,35.83,4.89
1/1/2003,32.95,4.2
12/1/2002,29.46,4.04
11/1/2002,26.35,3.56
10/1/2002,28.84,3.06
9/1/2002,29.66,2.7
8/1/2002,28.39,2.84
7/1/2002,26.97,3.08
6/1/2002,25.52,3.25
5/1/2002,27.04,3.27
4/1/2002,26.18,2.61
3/1/2002,24.53,2.32
2/1/2002,20.72,2.73
1/1/2002,19.72,2.68
12/1/2001,19.39,2.95
11/1/2001,19.64,2.14
10/1/2001,22.17,2.63
9/1/2001,26.2,3.14
8/1/2001,27.37,3.17
7/1/2001,26.43,3.94
6/1/2001,27.6,4.95
5/1/2001,28.63,5.35
4/1/2001,27.49,5.42
3/1/2001,27.25,6.45
2/1/2001,29.61,9.47
1/1/2001,29.59,7.35
12/1/2000,28.44,4.86
11/1/2000,34.42,5.16
10/1/2000,33.11,4.15
9/1/2000,33.88,3.62
8/1/2000,31.26,3.94
7/1/2000,29.7,3.87
6/1/2000,31.82,3.05
5/1/2000,28.79,2.86
4/1/2000,25.72,2.61
3/1/2000,29.84,2.6
2/1/2000,29.37,2.44
1/1/2000,27.26,2.34
12/1/1999,26.1,2.85
11/1/1999,25,2.5
10/1/1999,22.69,2.63
9/1/1999,23.8,2.39
8/1/1999,21.28,2.18
7/1/1999,20.1,2.13
6/1/1999,17.92,2.17
5/1/1999,17.72,1.85
4/1/1999,17.31,1.8
3/1/1999,14.68,1.93
2/1/1999,12.01,2.03
1/1/1999,12.52,2.16
12/1/1998,11.35,2.12
11/1/1998,13,1.93
10/1/1998,14.46,1.68
9/1/1998,15.03,1.82
8/1/1998,13.47,1.97
7/1/1998,14.17,1.88
6/1/1998,13.72,2.02
5/1/1998,14.91,2.04
4/1/1998,15.35,1.98
3/1/1998,15.12,1.94
2/1/1998,16.06,2.08
1/1/1998,16.72,2.19
12/1/1997,18.33,2.72
11/1/1997,20.19,2.33
10/1/1997,21.33,2.01
9/1/1997,19.8,1.83
8/1/1997,19.95,1.84
7/1/1997,19.66,1.88
6/1/1997,19.26,1.83
5/1/1997,20.82,1.67
4/1/1997,19.7,1.72
3/1/1997,20.97,2.52
2/1/1997,22.18,3.26
1/1/1997,25.13,3
12/1/1996,25.23,2.26
11/1/1996,23.71,1.71
10/1/1996,24.88,1.62
9/1/1996,23.97,1.8
8/1/1996,21.9,1.84
7/1/1996,21.3,1.7
6/1/1996,20.42,1.72
5/1/1996,21.17,1.87
4/1/1996,23.5,1.92
3/1/1996,21.33,1.95
2/1/1996,19.09,2.09
1/1/1996,18.86,1.8
12/1/1995,19.03,1.61
11/1/1995,17.99,1.48
10/1/1995,17.43,1.43
9/1/1995,18.23,1.34
8/1/1995,18.02,1.4
7/1/1995,17.33,1.47
6/1/1995,18.45,1.46
5/1/1995,19.74,1.37
4/1/1995,19.9,1.4
3/1/1995,18.54,1.46
2/1/1995,18.57,1.6
1/1/1995,18.04,1.72
12/1/1994,17.16,1.71
11/1/1994,18.07,1.54
10/1/1994,17.72,1.66
9/1/1994,17.45,1.76
8/1/1994,18.38,1.82
7/1/1994,19.66,1.77
6/1/1994,19.06,1.94
5/1/1994,17.89,1.96
4/1/1994,16.42,2.21
3/1/1994,14.68,2.24
2/1/1994,14.78,2.11
1/1/1994,15.03,2.27
12/1/1993,14.52,2.07
11/1/1993,16.61,1.93
10/1/1993,18.15,2.09
9/1/1993,17.5,1.97
8/1/1993,18.01,1.92
7/1/1993,17.89,1.98
6/1/1993,19.09,2.17
5/1/1993,19.95,2.03
4/1/1993,20.25,1.94
3/1/1993,20.32,1.89
2/1/1993,20.09,2.07
1/1/1993,19.03,2.13
12/1/1992,19.41,1.96
11/1/1992,20.34,2.22
10/1/1992,21.69,1.96
9/1/1992,21.88,1.83
8/1/1992,21.34,1.7
7/1/1992,21.78,1.77
6/1/1992,22.39,1.66
5/1/1992,20.98,1.63
4/1/1992,20.23,1.65
3/1/1992,18.92,1.68
2/1/1992,19.01,1.98
1/1/1992,18.79,1.98
12/1/1991,19.5,1.91
11/1/1991,22.46,1.8
10/1/1991,23.23,1.67
9/1/1991,21.89,1.6
8/1/1991,21.69,1.68
7/1/1991,21.4,1.72
6/1/1991,20.19,1.74
5/1/1991,21.23,1.79
4/1/1991,20.83,1.86
3/1/1991,19.9,1.92
2/1/1991,20.48,2.11
1/1/1991,25.23,2.13
12/1/1990,27.28,2.12
11/1/1990,32.33,1.84
10/1/1990,36.04,1.8
9/1/1990,33.51,1.78
8/1/1990,27.31,1.83
7/1/1990,18.45,1.79
6/1/1990,16.7,1.79
5/1/1990,18.2,1.82
4/1/1990,18.43,1.99
3/1/1990,20.39,2.1
2/1/1990,22.11,2.12
1/1/1990,22.86,1.99
12/1/1989,21.1,1.91
11/1/1989,19.86,1.78
10/1/1989,20.1,1.77
9/1/1989,19.59,1.77
8/1/1989,18.58,1.75
7/1/1989,19.78,1.81
6/1/1989,20.05,1.76
5/1/1989,20.12,1.73
4/1/1989,21.07,1.81
3/1/1989,19.48,1.88
2/1/1989,17.94,1.72
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
