Report_Date	Crude_Price	Gas_Price	Gold_Price
12/1/16 12:00 AM	51.97	2.7	37.21
11/1/16 12:00 AM	45.66	2.59	39.81
10/1/16 12:00 AM	49.78	2.47	40.71
9/1/16 12:00 AM	45.18	2.42	42.65
8/1/16 12:00 AM	44.72	2.35	43.09
7/1/16 12:00 AM	44.65	1.9	42.97
6/1/16 12:00 AM	48.76	1.55	41.04
5/1/16 12:00 AM	46.71	1.61	40.54
4/1/16 12:00 AM	40.75	1.73	39.94
3/1/16 12:00 AM	37.55	2.43	40.03
2/1/16 12:00 AM	30.32	2.8	38.56
1/1/16 12:00 AM	31.68	2.28	35.3
12/1/15 12:00 AM	37.19	2.4	34.35
11/1/15 12:00 AM	42.44	3.23	34.93
10/1/15 12:00 AM	46.22	2.75	37.27
9/1/15 12:00 AM	45.48	2.74	36.16
8/1/15 12:00 AM	42.87	2.66	35.94
7/1/15 12:00 AM	50.9	2.56	36.28
6/1/15 12:00 AM	59.82	2.52	37.99
5/1/15 12:00 AM	59.27	2.59	38.54
4/1/15 12:00 AM	54.45	3.9	38.55
3/1/15 12:00 AM	47.82	5.46	37.89
2/1/15 12:00 AM	50.58	4.75	39.45
1/1/15 12:00 AM	47.22	4.44	40.21
12/1/14 12:00 AM	59.29	3.97	38.6
11/1/14 12:00 AM	75.79	3.87	37.79
10/1/14 12:00 AM	84.4	4.24	39.3
9/1/14 12:00 AM	93.21	3.87	39.76
8/1/14 12:00 AM	96.54	4.77	41.64
7/1/14 12:00 AM	103.59	5.32	42.14
6/1/14 12:00 AM	105.79	4.6	41.12
5/1/14 12:00 AM	102.18	5.11	41.43
4/1/14 12:00 AM	102.07	8.12	41.75
3/1/14 12:00 AM	100.8	9.11	42.96
2/1/14 12:00 AM	100.82	7.15	41.78
1/1/14 12:00 AM	94.62	4.75	40
12/1/13 12:00 AM	97.63	3.77	39.27
11/1/13 12:00 AM	93.86	3.4	41.02
10/1/13 12:00 AM	100.54	3.49	42.33
9/1/13 12:00 AM	106.29	3.17	43.36
8/1/13 12:00 AM	106.57	3.41	43.46
7/1/13 12:00 AM	104.67	3.9	41.33
6/1/13 12:00 AM	95.77	3.94	43.19
5/1/13 12:00 AM	94.51	3.98	45.46
4/1/13 12:00 AM	92.02	3.84	47.84
3/1/13 12:00 AM	92.94	3.99	51.22
2/1/13 12:00 AM	95.31	4.14	52.33
1/1/13 12:00 AM	94.76	3.93	53.75
12/1/12 12:00 AM	87.86	4.03	54.17
11/1/12 12:00 AM	86.53	3.16	55.35
10/1/12 12:00 AM	89.49	2.67	56.15
9/1/12 12:00 AM	94.51	2.83	56.1
8/1/12 12:00 AM	94.13	2.78	52.42
7/1/12 12:00 AM	87.9	2.35	51.12
6/1/12 12:00 AM	82.3	2.29	51.4
5/1/12 12:00 AM	94.66	2.04	51.16
4/1/12 12:00 AM	103.32	2.36	53.04
3/1/12 12:00 AM	106.16	2.86	53.81
2/1/12 12:00 AM	102.2	3.27	56.01
1/1/12 12:00 AM	100.27	3.66	53.12
12/1/11 12:00 AM	98.56	3.58	52.79
11/1/11 12:00 AM	97.16	4.06	55.88
10/1/11 12:00 AM	86.32	3.92	53.54
9/1/11 12:00 AM	85.52	4.4	56.94
8/1/11 12:00 AM	86.33	4.39	56.5
7/1/11 12:00 AM	97.3	4.6	50.55
6/1/11 12:00 AM	96.26	4.31	49.15
5/1/11 12:00 AM	100.9	4.35	48.63
4/1/11 12:00 AM	109.53	4.24	47.58
3/1/11 12:00 AM	102.86	4.49	45.78
2/1/11 12:00 AM	88.58	4.66	44.13
1/1/11 12:00 AM	89.17	4.56	43.61
12/1/10 12:00 AM	89.15	3.96	44.71
11/1/10 12:00 AM	84.25	3.83	44.04
10/1/10 12:00 AM	81.89	3.76	43.15
9/1/10 12:00 AM	75.24	4.13	40.86
8/1/10 12:00 AM	76.6	4.4	39.09
7/1/10 12:00 AM	76.32	4.23	38.35
6/1/10 12:00 AM	75.34	4.13	39.64
5/1/10 12:00 AM	73.74	4.13	38.76
4/1/10 12:00 AM	84.29	4.87	36.93
3/1/10 12:00 AM	81.2	5.62	35.79
2/1/10 12:00 AM	76.39	5.95	35.22
1/1/10 12:00 AM	78.33	5.23	35.94
12/1/09 12:00 AM	74.47	4.4	36.48
11/1/09 12:00 AM	77.99	3.92	36.24
10/1/09 12:00 AM	75.72	2.91	33.54
9/1/09 12:00 AM	69.41	3.29	32.04
8/1/09 12:00 AM	71.05	3.5	30.52
7/1/09 12:00 AM	64.15	3.51	30.04
6/1/09 12:00 AM	69.64	3.48	30.4
5/1/09 12:00 AM	59.03	3.67	29.86
4/1/09 12:00 AM	49.65	4.34	28.62
3/1/09 12:00 AM	47.94	5.21	29.72
2/1/09 12:00 AM	39.09	6.18	30.32
1/1/09 12:00 AM	41.71	6.74	27.61
12/1/08 12:00 AM	41.12	6.54	26.24
11/1/08 12:00 AM	57.31	6.87	24.46
